,ot_alliri,ot_classiri,ot_proertyiri
105,http://www.wurvoc.org/vocabularies/om-1.8/Unit_multiplication,http://www.wurvoc.org/vocabularies/om-1.8/Unit_multiplication,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#isLocationOf
106,http://www.wurvoc.org/vocabularies/om-1.8/Unit_of_measure,http://www.wurvoc.org/vocabularies/om-1.8/Unit_of_measure,http://www.owl-ontologies.com/EPC4EU#hasEnergyConversionSystem
107,http://xmlns.com/foaf/0.1/Person,http://xmlns.com/foaf/0.1/Person,http://www.owl-ontologies.com/EPC4EU#heatingDegreeDays
108,https://saref.etsi.org/core/Actuator,https://saref.etsi.org/core/Actuator,http://www.owl-ontologies.com/EPC4EU#issuedBy
109,https://saref.etsi.org/core/Appliance,https://saref.etsi.org/core/Appliance,http://www.w3.org/2002/07/owl#topObjectProperty
110,https://saref.etsi.org/core/Currency,https://saref.etsi.org/core/Currency,http://www.w3.org/2006/time#hasBeginning
111,https://saref.etsi.org/core/Device,https://saref.etsi.org/core/Device,http://www.w3.org/2006/time#hasEnd
112,https://saref.etsi.org/core/Energy,https://saref.etsi.org/core/Energy,http://www.w3.org/ns/sosa/madeBySensor
113,https://saref.etsi.org/core/EnergyUnit,https://saref.etsi.org/core/EnergyUnit,http://www.w3.org/ns/sosa/observedProperty
114,https://saref.etsi.org/core/HVAC,https://saref.etsi.org/core/HVAC,http://www.w3.org/ns/sosa/observes
115,https://saref.etsi.org/core/IlluminanceUnit,https://saref.etsi.org/core/IlluminanceUnit,https://saref.etsi.org/core/consistsOf
116,https://saref.etsi.org/core/LightSwitch,https://saref.etsi.org/core/LightSwitch,https://saref.etsi.org/core/controlsProperty
117,https://saref.etsi.org/core/Meter,https://saref.etsi.org/core/Meter,https://saref.etsi.org/core/hasPrice
118,https://saref.etsi.org/core/Power,https://saref.etsi.org/core/Power,https://saref.etsi.org/core/hasProfile
119,https://saref.etsi.org/core/PowerUnit,https://saref.etsi.org/core/PowerUnit,https://saref.etsi.org/core/hasProperty
120,https://saref.etsi.org/core/PressureUnit,https://saref.etsi.org/core/PressureUnit,https://saref.etsi.org/core/hasTime
121,https://saref.etsi.org/core/Price,https://saref.etsi.org/core/Price,https://saref.etsi.org/core/isControlledByDevice
122,https://saref.etsi.org/core/Profile,https://saref.etsi.org/core/Profile,https://saref.etsi.org/core/isMeasuredByDevice
123,https://saref.etsi.org/core/Sensor,https://saref.etsi.org/core/Sensor,https://saref.etsi.org/core/isOfferedBy
124,https://saref.etsi.org/core/Service,https://saref.etsi.org/core/Service,https://saref.etsi.org/core/isPropertyOf
125,https://saref.etsi.org/core/SmokeSensor,https://saref.etsi.org/core/SmokeSensor,https://saref.etsi.org/core/measuresProperty
126,https://saref.etsi.org/core/Switch,https://saref.etsi.org/core/Switch,https://saref.etsi.org/core/offers
127,https://saref.etsi.org/core/SwitchOnService,https://saref.etsi.org/core/SwitchOnService,https://saref.etsi.org/saref4bldg/contains
128,https://saref.etsi.org/core/TemperatureSensor,https://saref.etsi.org/core/TemperatureSensor,https://saref.etsi.org/saref4bldg/hasSpace
129,https://saref.etsi.org/core/TemperatureUnit,https://saref.etsi.org/core/TemperatureUnit,https://saref.etsi.org/saref4bldg/isContainedIn
130,https://saref.etsi.org/core/UnitOfMeasure,https://saref.etsi.org/core/UnitOfMeasure,https://saref.etsi.org/saref4bldg/isSpaceOf
131,https://saref.etsi.org/saref4bldg/Actuator,https://saref.etsi.org/saref4bldg/Actuator,https://saref.etsi.org/saref4ener/belongsTo
132,https://saref.etsi.org/saref4bldg/AirToAirHeatRecovery,https://saref.etsi.org/saref4bldg/AirToAirHeatRecovery,https://saref.etsi.org/saref4ener/hasAppliedEventActionConsume
133,https://saref.etsi.org/saref4bldg/Alarm,https://saref.etsi.org/saref4bldg/Alarm,https://saref.etsi.org/saref4ener/hasAppliedEventActionProduce
134,https://saref.etsi.org/saref4bldg/AudioVisualAppliance,https://saref.etsi.org/saref4bldg/AudioVisualAppliance,https://saref.etsi.org/saref4ener/hasEnergy
135,https://saref.etsi.org/saref4bldg/Boiler,https://saref.etsi.org/saref4bldg/Boiler,https://saref.etsi.org/saref4ener/triggersEventActionConsume
136,https://saref.etsi.org/saref4bldg/Building,https://saref.etsi.org/saref4bldg/Building,https://saref.etsi.org/saref4ener/triggersEventActionProduce
137,https://saref.etsi.org/saref4bldg/BuildingDevice,https://saref.etsi.org/saref4bldg/BuildingDevice,https://sargon-n5geh.netlify.app/ontology/1.0/object_properties/connected_actuator
138,https://saref.etsi.org/saref4bldg/BuildingObject,https://saref.etsi.org/saref4bldg/BuildingObject,https://sargon-n5geh.netlify.app/ontology/1.0/object_properties/connected_sensor
139,https://saref.etsi.org/saref4bldg/BuildingSpace,https://saref.etsi.org/saref4bldg/BuildingSpace,https://sargon-n5geh.netlify.app/ontology/1.0/object_properties/contain_of
140,https://saref.etsi.org/saref4bldg/Burner,https://saref.etsi.org/saref4bldg/Burner,https://sargon-n5geh.netlify.app/ontology/1.0/object_properties/controlled_property
141,https://saref.etsi.org/saref4bldg/Chiller,https://saref.etsi.org/saref4bldg/Chiller,https://sargon-n5geh.netlify.app/ontology/1.0/object_properties/has_building
142,https://saref.etsi.org/saref4bldg/Coil,https://saref.etsi.org/saref4bldg/Coil,https://sargon-n5geh.netlify.app/ontology/1.0/object_properties/has_channel
143,https://saref.etsi.org/saref4bldg/CommunicationAppliance,https://saref.etsi.org/saref4bldg/CommunicationAppliance,https://sargon-n5geh.netlify.app/ontology/1.0/object_properties/has_floor
144,https://saref.etsi.org/saref4bldg/Compressor,https://saref.etsi.org/saref4bldg/Compressor,https://sargon-n5geh.netlify.app/ontology/1.0/object_properties/has_room
145,https://saref.etsi.org/saref4bldg/Condenser,https://saref.etsi.org/saref4bldg/Condenser,https://sargon-n5geh.netlify.app/ontology/1.0/object_properties/has_sensor
146,https://saref.etsi.org/saref4bldg/Controller,https://saref.etsi.org/saref4bldg/Controller,https://sargon-n5geh.netlify.app/ontology/1.0/object_properties/has_sub_zone
147,https://saref.etsi.org/saref4bldg/CooledBeam,https://saref.etsi.org/saref4bldg/CooledBeam,https://sargon-n5geh.netlify.app/ontology/1.0/object_properties/has_tenant
148,https://saref.etsi.org/saref4bldg/CoolingTower,https://saref.etsi.org/saref4bldg/CoolingTower,https://sargon-n5geh.netlify.app/ontology/1.0/object_properties/has_zone
149,https://saref.etsi.org/saref4bldg/Damper,https://saref.etsi.org/saref4bldg/Damper,https://sargon-n5geh.netlify.app/ontology/1.0/object_properties/in_building
150,https://saref.etsi.org/saref4bldg/DistributionControlDevice,https://saref.etsi.org/saref4bldg/DistributionControlDevice,https://sargon-n5geh.netlify.app/ontology/1.0/object_properties/in_floor
